url,other
/click/seasonPage/functionType,"{""seqid"":""1749124660937000"",""eventid"":""32703"",""appversion2"":""2.0.0"",""froghost"":""frog.yuanfudao.com"",""ostype"":""Windows"",""eventaction"":""click"",""timestamp"":""1749124660937"",""ip"":""183.219.14.7"",""functiontype"":""3"",""operator"":""unknown"",""frogversion"":""v3"",""ua"":""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) tutor-electron-husky/2.0.0 Chrome/85.0.4183.121 Electron/10.1.5 Safari/537.36"",""language"":""zh-CN"",""receivetime"":""1749124666451"",""eventname"":""functionType"",""currentpage"":""seasonPage"",""newsdk"":""1"",""sendtime"":""1749124665166"",""net"":""wifi""}"
/click/seasonPage/functionType,"{""seqid"":""1749054234948000"",""eventid"":""32703"",""appversion2"":""2.0.0"",""froghost"":""frog.yuanfudao.com"",""ostype"":""Windows"",""eventaction"":""click"",""timestamp"":""1749054234948"",""ip"":""171.109.21.211"",""functiontype"":""5"",""operator"":""unknown"",""frogversion"":""v3"",""ua"":""Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) tutor-electron-husky/2.0.0 Chrome/85.0.4183.121 Electron/10.1.5 Safari/537.36"",""language"":""zh-CN"",""receivetime"":""1749054239676"",""eventname"":""functionType"",""currentpage"":""seasonPage"",""newsdk"":""1"",""sendtime"":""1749054239339"",""net"":""ethernet""}"
/click/seasonPage/functionType,"{""seqid"":""1749128406001000"",""eventid"":""32703"",""appversion2"":""3.0.0"",""froghost"":""frog.yuanfudao.com"",""ostype"":""Windows"",""eventaction"":""click"",""timestamp"":""1749128406001"",""ip"":""120.225.108.13"",""functiontype"":""6"",""operator"":""unknown"",""frogversion"":""v3"",""ua"":""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) tutor-electron-collie/3.0.0 Chrome/85.0.4183.121 Electron/10.1.5 Safari/537.36"",""language"":""zh-CN"",""receivetime"":""1749128408502"",""eventname"":""functionType"",""currentpage"":""seasonPage"",""newsdk"":""1"",""sendtime"":""1749128407351"",""net"":""wifi""}"
/click/seasonPage/functionType,"{""seqid"":""1749087480429000"",""eventid"":""32703"",""appversion2"":""2.0.0"",""froghost"":""frog.yuanfudao.com"",""ostype"":""Windows"",""eventaction"":""click"",""timestamp"":""1749087480429"",""ip"":""42.243.5.183"",""functiontype"":""2"",""operator"":""unknown"",""frogversion"":""v3"",""ua"":""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) tutor-electron-husky/2.0.0 Chrome/85.0.4183.121 Electron/10.1.5 Safari/537.36"",""language"":""zh-CN"",""receivetime"":""1749087484537"",""eventname"":""functionType"",""currentpage"":""seasonPage"",""newsdk"":""1"",""sendtime"":""1749087483553"",""net"":""wifi""}"
/click/seasonPage/functionType,"{""seqid"":""1749053947373000"",""eventid"":""32703"",""appversion2"":""2.0.0"",""froghost"":""frog.yuanfudao.com"",""ostype"":""Windows"",""eventaction"":""click"",""timestamp"":""1749053947373"",""ip"":""171.109.21.211"",""functiontype"":""5"",""operator"":""unknown"",""frogversion"":""v3"",""ua"":""Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) tutor-electron-husky/2.0.0 Chrome/85.0.4183.121 Electron/10.1.5 Safari/537.36"",""language"":""zh-CN"",""receivetime"":""1749053949709"",""eventname"":""functionType"",""currentpage"":""seasonPage"",""newsdk"":""1"",""sendtime"":""1749053949328"",""net"":""ethernet""}"
/click/seasonPage/functionType,"{""seqid"":""1749054483622000"",""eventid"":""32703"",""appversion2"":""2.0.0"",""froghost"":""frog.yuanfudao.com"",""ostype"":""Windows"",""eventaction"":""click"",""timestamp"":""1749054483622"",""ip"":""171.109.21.211"",""functiontype"":""5"",""operator"":""unknown"",""frogversion"":""v3"",""ua"":""Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) tutor-electron-husky/2.0.0 Chrome/85.0.4183.121 Electron/10.1.5 Safari/537.36"",""language"":""zh-CN"",""receivetime"":""1749054484699"",""eventname"":""functionType"",""currentpage"":""seasonPage"",""newsdk"":""1"",""sendtime"":""1749054484343"",""net"":""ethernet""}"
/click/seasonPage/functionType,"{""seqid"":""1749128018588000"",""eventid"":""32703"",""appversion2"":""7.0.0"",""froghost"":""frog.yuanfudao.com"",""ostype"":""Windows"",""eventaction"":""click"",""timestamp"":""1749128018588"",""ip"":""60.220.128.95"",""functiontype"":""5"",""operator"":""unknown"",""frogversion"":""v3"",""ua"":""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) tutor-electron-student/7.0.0 Chrome/85.0.4183.121 Electron/10.1.5 Safari/537.36"",""language"":""zh-CN"",""receivetime"":""1749128024196"",""eventname"":""functionType"",""currentpage"":""seasonPage"",""newsdk"":""1"",""sendtime"":""1749128023136"",""net"":""ethernet""}"
/click/seasonPage/functionType,"{""seqid"":""1749122914564000"",""eventid"":""32703"",""appversion2"":""2.0.0"",""froghost"":""frog.yuanfudao.com"",""ostype"":""Windows"",""eventaction"":""click"",""timestamp"":""1749122914564"",""ip"":""183.219.14.7"",""functiontype"":""3"",""operator"":""unknown"",""frogversion"":""v3"",""ua"":""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) tutor-electron-husky/2.0.0 Chrome/85.0.4183.121 Electron/10.1.5 Safari/537.36"",""language"":""zh-CN"",""receivetime"":""1749122916017"",""eventname"":""functionType"",""currentpage"":""seasonPage"",""newsdk"":""1"",""sendtime"":""1749122915166"",""net"":""Unknown""}"
/click/seasonPage/functionType,"{""seqid"":""1749087452646000"",""eventid"":""32703"",""appversion2"":""2.0.0"",""froghost"":""frog.yuanfudao.com"",""ostype"":""Windows"",""eventaction"":""click"",""timestamp"":""1749087452646"",""ip"":""42.243.5.183"",""functiontype"":""2"",""operator"":""unknown"",""frogversion"":""v3"",""ua"":""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) tutor-electron-husky/2.0.0 Chrome/85.0.4183.121 Electron/10.1.5 Safari/537.36"",""language"":""zh-CN"",""receivetime"":""1749087454524"",""eventname"":""functionType"",""currentpage"":""seasonPage"",""newsdk"":""1"",""sendtime"":""1749087453543"",""net"":""wifi""}"
/click/seasonPage/functionType,"{""seqid"":""1749054475824000"",""eventid"":""32703"",""appversion2"":""2.0.0"",""froghost"":""frog.yuanfudao.com"",""ostype"":""Windows"",""eventaction"":""click"",""timestamp"":""1749054475824"",""ip"":""171.109.21.211"",""functiontype"":""4"",""operator"":""unknown"",""frogversion"":""v3"",""ua"":""Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) tutor-electron-husky/2.0.0 Chrome/85.0.4183.121 Electron/10.1.5 Safari/537.36"",""language"":""zh-CN"",""receivetime"":""1749054479715"",""eventname"":""functionType"",""currentpage"":""seasonPage"",""newsdk"":""1"",""sendtime"":""1749054479340"",""net"":""ethernet""}"
